"participant_id","participant_name","participant_type","email","phone","created_at"
1,Динамо,team,dynamo@example.com,+996555111111,2025-12-11 10:18:27.629
2,Алга,team,alga@example.com,+996555222222,2025-12-11 10:18:27.629
3,Абдыш-Ата,team,abdysh@example.com,+996555333333,2025-12-11 10:18:27.629
4,Нефтчи,team,neftchi@example.com,+996555444444,2025-12-11 10:18:27.629
5,Алай,team,alay@example.com,+996555555555,2025-12-11 10:18:27.629
6,Илбирс,team,ilbirs@example.com,+996555666666,2025-12-11 10:18:27.629
7,Алтын-Алма,team,altyn@example.com,+996555777777,2025-12-11 10:18:27.629
8,Кара-Балта,team,karabalta@example.com,+996555888888,2025-12-11 10:18:27.629
9,Баскет-Клуб А,team,basket_a@example.com,+996555111222,2025-12-11 10:18:27.629
10,Баскет-Клуб Б,team,basket_b@example.com,+996555222333,2025-12-11 10:18:27.629
11,Баскет-Клуб В,team,basket_c@example.com,+996555333444,2025-12-11 10:18:27.629
12,Баскет-Клуб Г,team,basket_d@example.com,+996555444555,2025-12-11 10:18:27.629
13,Баскет-Клуб Д,team,basket_e@example.com,+996555555666,2025-12-11 10:18:27.629
14,Баскет-Клуб Е,team,basket_f@example.com,+996555666777,2025-12-11 10:18:27.629
15,Баскет-Клуб Ж,team,basket_g@example.com,+996555777888,2025-12-11 10:18:27.629
16,Баскет-Клуб З,team,basket_h@example.com,+996555888999,2025-12-11 10:18:27.629
17,Баскет-Клуб И,team,basket_i@example.com,+996555999000,2025-12-11 10:18:27.629
18,Баскет-Клуб К,team,basket_k@example.com,+996555000111,2025-12-11 10:18:27.629
19,Баскет-Клуб Л,team,basket_l@example.com,+996555111333,2025-12-11 10:18:27.629
20,Баскет-Клуб М,team,basket_m@example.com,+996555222444,2025-12-11 10:18:27.629
21,Баскет-Клуб Н,team,basket_n@example.com,+996555333555,2025-12-11 10:18:27.629
22,Баскет-Клуб О,team,basket_o@example.com,+996555444666,2025-12-11 10:18:27.629
23,Баскет-Клуб П,team,basket_p@example.com,+996555555777,2025-12-11 10:18:27.629
24,Баскет-Клуб Р,team,basket_r@example.com,+996555666888,2025-12-11 10:18:27.629
25,Иван Петров,player,ivan@example.com,+996555111000,2025-12-11 10:18:27.629
26,Сергей Иванов,player,sergey@example.com,+996555222000,2025-12-11 10:18:27.629
27,Алексей Сидоров,player,alexey@example.com,+996555333000,2025-12-11 10:18:27.629
28,Дмитрий Козлов,player,dmitry@example.com,+996555444000,2025-12-11 10:18:27.629
